ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.287,1,17,1789,7501083.06,1,40,1,3,7,0
2,0.808,1,73,7329,7499428.9,1,49,1,2,9,1
3,0.957,1,15,1577,7499087.0,1,53,1,1,4,1
4,0.933,1,52,5299,7498047.72,0,19,0,2,4,0
5,0.688,1,33,3394,7500609.5,1,61,1,6,4,0
6,0.948,1,82,8290,7499321.39,1,39,0,2,1,0
7,1.143,1,81,8143,7499116.26,0,64,0,6,2,0
8,0.876,1,74,7497,7498183.27,0,46,1,2,10,0
9,0.621,1,32,3243,7497841.5,0,48,1,4,5,0
10,0.828,1,13,1392,7498752.1,1,48,1,1,10,1
11,1.075,1,91,9146,7501154.17,0,59,1,4,5,1
12,1.344,1,61,6149,7498713.14,0,22,1,6,4,0
13,1.251,1,18,1836,7502284.52,0,62,0,4,9,0
14,1.086,1,33,3326,7500645.51,0,21,0,4,4,0
15,0.701,1,13,1321,7500249.92,1,38,1,2,2,1
16,1.272,1,11,1195,7498097.51,1,57,1,2,4,1
17,1.007,1,82,8239,7503088.89,1,33,1,2,5,0
18,0.928,1,64,6474,7497722.16,0,50,0,4,10,0
19,1.273,1,31,3157,7500844.45,0,28,0,1,4,0
20,1.185,1,11,1177,7502678.97,0,35,0,3,7,1
21,1.15,1,33,3306,7499685.44,1,45,1,1,7,1
22,0.655,1,72,7265,7498919.25,0,55,0,1,2,1
23,0.817,1,92,9298,7499969.96,1,64,1,1,2,1
24,0.489,1,71,7110,7501447.79,0,27,0,6,6,0
25,1.058,1,18,1853,7502148.3,1,48,0,2,5,0
26,1.008,1,15,1547,7500955.7,1,47,1,2,10,1
27,1.28,1,52,5216,7498309.11,0,29,0,5,4,0
28,1.064,1,16,1683,7498934.01,0,26,0,3,2,1
29,0.89,1,16,1617,7500321.62,0,34,0,6,6,1
30,1.633,1,52,5204,7497982.21,0,24,0,5,10,0
31,0.691,1,62,6222,7499620.05,0,32,1,6,2,0
32,0.599,1,64,6468,7503543.26,1,20,1,3,1,0
33,0.817,1,12,1267,7498328.01,1,35,0,4,6,0
34,1.157,1,31,3193,7501835.0,1,37,0,2,10,0
35,0.895,1,17,1784,7498524.82,0,64,1,5,2,0
36,0.868,1,92,9237,7499461.27,1,19,1,5,8,0
37,0.664,1,11,1105,7499889.11,0,64,1,3,8,0
38,1.442,1,81,8134,7497619.56,1,41,1,1,2,1
39,0.813,1,65,6555,7499833.85,1,21,0,6,3,0
40,0.676,1,18,1828,7502050.45,0,16,1,2,10,0
41,0.963,1,15,1548,7501133.98,0,44,0,4,7,0
42,0.758,1,72,7209,7501103.27,1,60,1,4,9,0
43,0.93,1,52,5297,7498727.98,0,62,1,5,1,1
44,1.401,1,52,5227,7499770.65,0,16,1,1,2,0
45,0.866,1,21,2190,7500319.9,0,64,0,1,10,0
46,0.985,1,12,1275,7501073.12,0,16,1,6,1,0
47,0.889,1,64,6417,7502122.7,1,39,0,2,8,0
48,0.942,1,92,9223,7498419.92,1,33,1,6,7,1
49,1.246,1,74,7469,7502687.22,0,32,0,1,8,1
50,1.159,1,53,5368,7499547.45,1,21,1,4,5,0
51,0.898,1,76,7637,7499602.13,0,47,1,1,6,1
52,0.721,1,13,1386,7498089.28,0,31,1,5,1,0
53,0.96,1,31,3117,7499892.81,0,63,0,6,3,0
