eqIncome,gender,eqsize,cash,self_empl,unempl_ben,age_ben,surv_ben,sick_ben,dis_ben,rent,fam_allow,house_allow,cap_inv,tax_adj,state,district,weight
14440.6,male,1.1999498316360058,18189.02,0.0,0.0,0.0,0.0,0.0,9924.76,0.0,0.0,0.0,0.0,0.0,State3,District4,1.0
27693.57,female,2.0284688768272234,16222.19,0.0,0.0,8453.69,6799.49,0.0,0.0,0.0,0.0,0.0,0.0,-1473.72,State3,District3,1.0
21044.32,female,2.135400655639983,0.0,-5677.36,0.0,0.0,6185.63,0.0,0.0,6377.25,2263.49,0.0,934.03,0.0,State2,District4,1.0
28208.86,male,1.0312728134823879,-630.67,0.0,0.0,7613.11,0.0,0.0,8324.57,4482.24,0.0,0.0,0.0,-1475.0,State1,District5,1.0
28632.58,male,1.9444298503238986,0.0,12891.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1769.02,State2,District3,1.0
17327.92,male,1.4061224494695388,49.46,0.0,0.0,5599.1,0.0,0.0,0.0,0.0,2892.63,0.0,0.0,0.0,State2,District5,1.0
24249.61,male,2.6360295318449865,1886.76,0.0,0.0,0.0,0.0,0.0,0.0,4429.88,-22.31,0.0,3282.01,0.0,State2,District1,1.0
14637.34,male,1.53356202855057,5074.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District3,1.0
27026.03,male,2.632863746438768,28923.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.7,2595.1,0.0,-1240.99,State1,District5,1.0
24632.28,female,2.8493872365571256,23135.17,153.09,0.0,0.0,0.0,0.0,0.0,1119.92,0.0,0.0,2181.13,-1595.36,State1,District1,1.0
21465.36,male,1.5678419494749314,7856.49,0.0,0.0,6009.78,0.0,0.0,0.0,0.0,0.0,0.0,288.3,-987.36,State3,District1,1.0
24552.56,male,2.589622607083297,14702.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2813.8,3313.74,-1370.17,State2,District5,1.0
25227.86,female,1.9705597485526314,11578.58,0.0,6270.23,0.0,0.0,0.0,0.0,1839.6,0.0,0.0,0.0,0.0,State3,District5,1.0
23283.99,female,2.0226847977218756,640.99,20647.05,0.0,12964.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District3,1.0
17640.34,female,1.6533024835920818,25889.51,0.0,7420.8,0.0,0.0,0.0,0.0,0.0,1848.76,0.0,0.0,0.0,State2,District2,1.0
15712.26,female,2.92529682935585,23400.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.02,-336.58,State3,District4,1.0
29218.58,male,1.2403292956112844,21990.92,0.0,0.0,0.0,0.0,3599.9,0.0,0.0,0.0,7780.55,956.73,-1042.08,State2,District3,1.0
21720.34,female,2.150948355751758,24262.33,0.0,0.0,0.0,8878.65,2891.5,0.0,0.0,0.0,0.0,0.0,-895.94,State2,District1,1.0
17535.0,female,1.68124913892848,0.0,0.0,0.0,0.0,7819.84,2494.12,0.0,0.0,0.0,0.0,136.61,0.0,State2,District2,1.0
23822.39,male,2.5090857481693645,0.0,1110.69,0.0,12045.86,0.0,0.0,6379.47,0.0,0.0,3145.49,595.01,0.0,State3,District5,1.0
22975.79,male,1.425455790048458,11574.11,11994.52,5649.04,15025.88,9777.97,0.0,0.0,0.0,0.0,0.0,158.53,-1248.03,State1,District4,1.0
25303.46,female,2.625599134515005,17374.85,4686.18,0.0,14080.33,0.0,0.0,6961.97,0.0,0.0,0.0,0.0,0.0,State2,District3,1.0
14987.35,male,2.166737530194319,543.9,3246.9,0.0,10672.28,0.0,0.0,7025.18,0.0,0.0,0.0,0.0,-1436.16,State1,District1,1.0
20916.71,female,2.9174048148156926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State1,District3,1.0
16773.39,male,2.3694623451077588,0.0,-2804.89,2359.53,15494.38,0.0,0.0,0.0,0.0,286.87,5030.81,1822.19,0.0,State3,District1,1.0
21712.28,male,2.9932736741478108,34115.3,7495.81,0.0,5202.63,0.0,0.0,0.0,0.0,0.0,0.0,734.61,-1589.65,State3,District1,1.0
20337.59,male,1.1768164467312932,9367.41,0.0,0.0,0.0,0.0,5539.26,0.0,7221.16,0.0,0.0,792.85,0.0,State2,District4,1.0
