"eqIncome","gender","eqsize","cash","self_empl","unempl_ben","age_ben","surv_ben","sick_ben","dis_ben","rent","fam_allow","house_allow","cap_inv","tax_adj","state","district","weight"
23485.32,"male",2.5,33003.39,0,0,0,0,0,0,0,0,0,17158.84,-10972.65,"Burgenland","Neusiedl am See",9.6875
22704.46,"male",2,20073.23,0,0,0,0,0,0,0,0,0,4.7,-940.77,"Burgenland","Neusiedl am See",9.6875
25946.34,"female",1,0,24736.06,0,0,0,0,0,0,0,1083.95,126.33,0,"Burgenland","Neusiedl am See",9.6875
16152.5380952381,"male",2.1,19972.35,0,0,0,0,0,0,0,5247.33,0,195.32,0,"Burgenland","Neusiedl am See",9.6875
22587.48,"male",1.5,21503.23,0,0,0,0,0,0,0,2031.03,0,19.92,0,"Burgenland","Neusiedl am See",9.6875
20437.04,"male",2,22282.23,0,0,0,0,0,0,0,0,3312.42,0,0,"Burgenland","Neusiedl am See",9.6875
17784.38,"female",1.5,2170.18,0,0,15219.13,0,3016.55,0,0,0,0,5.96,0,"Burgenland","Neusiedl am See",9.6875
15278.97,"male",2,10850.85,0,0,3956.04,0,0,0,0,0,0,1.05,-526.3,"Burgenland","Neusiedl am See",9.6875
27798.9111111111,"female",1.8,29047.56,0,0,0,0,0,0,0,1860.45,0,0,-238.06,"Burgenland","Neusiedl am See",9.6875
10849.74,"male",1.5,15873.58,0,0,0,0,0,0,0,0,0,401.03,0,"Burgenland","Neusiedl am See",9.6875
15153.1666666667,"male",1.5,21950.89,0,0,0,0,0,0,0,0,0,549.78,-229.08,"Burgenland","Neusiedl am See",9.6875
26631.56,"male",1,32859.49,0,0,0,0,0,0,0,0,0,88.61,0,"Burgenland","Neusiedl am See",9.6875
26370.1466666667,"male",1.5,0,0,0,19888,0,0,0,0,0,0,171.1,0,"Burgenland","Neusiedl am See",9.6875
14495.5866666667,"male",1.5,0,0,0,18064.64,0,0,0,0,0,0,60.85,-608.54,"Burgenland","Neusiedl am See",9.6875
18956.5533333333,"male",1.5,0,0,0,21199.19,0,0,0,0,0,0,0,0,"Burgenland","Neusiedl am See",9.6875
10448.36,"female",1,0,0,0,10320.64,0,0,0,0,0,0,127.72,0,"Burgenland","Neusiedl am See",9.6875
30477.55,"male",2,26490.87,0,0,0,0,0,0,0,0,0,284.4,-142.2,"Burgenland","Oberwart",10
9231.6347826087,"male",2.3,14794.5,0,0,0,0,0,0,0,3859.09,0,23.03,-663.26,"Burgenland","Oberwart",10
5829.6,"female",1,0,0,0,5829.6,0,0,0,0,0,0,0,0,"Burgenland","Oberwart",10
17112.97,"male",1,20746.22,0,0,0,0,0,0,0,0,0,0,0,"Burgenland","Oberwart",10
