eqIncome,gender,eqsize,cash,self_empl,unempl_ben,age_ben,surv_ben,sick_ben,dis_ben,rent,fam_allow,house_allow,cap_inv,tax_adj,state,district,weight
15759.95,female,2.956519466632673,28059.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.06,0.0,0.0,-1482.57,State3,District1,10.0
22183.03,female,2.0959222158079713,22949.58,0.0,926.21,8103.32,0.0,0.0,7646.53,0.0,0.0,0.0,0.0,0.0,State2,District2,10.0
10376.32,male,2.9376538460495607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-471.26,State2,District3,10.0
22755.25,female,2.760412471955375,16958.89,0.0,0.0,9659.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1208.69,State1,District4,10.0
20110.22,female,2.628062800845144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7891.14,0.0,0.0,0.0,0.0,State2,District4,10.0
22266.67,male,2.3218287821322887,8782.26,0.0,7012.74,8934.68,0.0,1246.15,0.0,0.0,0.0,0.0,0.0,0.0,State2,District4,10.0
19744.16,female,2.4230038187043794,14974.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.13,-1367.64,State3,District3,10.0
17252.32,male,2.825064402761474,14287.76,13917.33,7503.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District3,10.0
21188.97,male,2.267050793101104,7467.06,0.0,2695.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.77,0.0,State3,District5,10.0
4575.89,female,2.9257459401049353,490.19,11103.85,4737.28,0.0,0.0,0.0,0.0,0.0,3556.83,0.0,0.0,0.0,State2,District3,10.0
19744.34,female,2.38673114517284,0.0,0.0,0.0,13359.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1311.04,State3,District3,10.0
19942.77,female,1.4967574383057145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.13,0.0,0.0,State3,District2,10.0
23530.93,female,2.361985534060132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.36,0.0,0.0,0.0,State2,District5,10.0
18476.92,male,1.2763711600546002,7181.64,8219.87,4137.54,8859.01,0.0,0.0,0.0,0.0,2810.22,0.0,0.27,0.0,State1,District4,10.0
15233.62,male,2.2057586716140642,15235.6,0.0,6589.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,State1,District3,10.0
22045.83,female,2.9931609319032715,12661.57,0.0,6388.12,0.0,0.0,0.0,4433.97,1226.43,1646.05,0.0,647.57,0.0,State3,District5,10.0
20359.27,male,2.511943248393167,0.0,0.0,6332.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2180.01,State3,District1,10.0
20849.41,male,1.7986359838119974,1577.4,0.0,0.0,0.0,0.0,2460.43,4731.97,0.0,3230.02,0.0,207.82,-961.69,State2,District4,10.0
25055.01,male,1.5906478976443985,12095.28,0.0,0.0,13448.59,0.0,0.0,0.0,0.0,0.0,0.0,706.92,-558.26,State1,District5,10.0
13000.1,female,2.3886236700191104,15980.28,0.0,0.0,0.0,0.0,0.0,0.0,3573.72,3997.13,0.0,1699.62,0.0,State3,District4,10.0
18541.47,male,1.3745331154453533,24985.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.33,376.97,-1284.09,State3,District5,10.0
22462.74,male,2.456680041262202,829.55,0.0,0.0,13549.56,0.0,2581.68,0.0,0.0,1999.49,0.0,0.0,0.0,State3,District2,10.0
21231.54,female,2.9029030607666773,0.0,0.0,0.0,7081.05,7373.66,0.0,0.0,7997.19,2819.64,0.0,0.0,-1067.27,State3,District1,10.0
10471.36,female,2.125788931068679,13125.85,0.0,8064.81,0.0,0.0,0.0,0.0,0.0,0.0,3812.26,1068.32,0.0,State2,District3,10.0
29205.54,male,1.5545084732159948,27562.88,21297.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.29,0.0,State1,District5,10.0
20660.82,male,1.661214860204869,30479.48,-778.48,2284.49,0.0,0.0,0.0,10895.62,0.0,0.0,0.0,0.0,0.0,State2,District2,10.0
19871.73,female,1.3644059766734054,26813.43,18977.98,3129.74,16184.16,0.0,0.0,0.0,0.0,3009.7,0.0,0.0,-1055.46,State3,District3,10.0
22671.21,female,1.8537199754958789,10814.8,-1024.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District1,10.0
24229.12,female,2.9059055725879643,5256.11,0.0,5912.64,10584.39,0.0,0.0,0.0,4309.83,0.0,0.0,0.0,-1077.61,State2,District5,10.0
22800.59,female,2.818340951545857,0.0,0.0,0.0,11300.51,0.0,0.0,0.0,0.0,0.0,0.0,90.27,-432.73,State3,District2,10.0
16749.92,female,2.9175218760626427,19733.27,0.0,0.0,11914.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1571.76,State1,District5,10.0
16251.7,male,1.2901532831690634,15000.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279.58,0.0,890.11,-569.59,State1,District1,10.0
10853.67,male,2.949812510693535,6090.89,1800.34,0.0,0.0,0.0,0.0,0.0,5192.77,0.0,0.0,0.0,-297.96,State1,District3,10.0
17008.51,male,1.2364576776602603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.09,0.0,0.0,2502.03,0.0,State1,District2,10.0
21806.37,male,2.4968334893502213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754.44,0.0,0.0,-598.93,State1,District4,10.0
17789.55,male,1.1412236957350097,44496.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330.54,State1,District1,10.0
18398.78,male,1.4433757004688572,26956.63,0.0,0.0,0.0,0.0,4083.93,0.0,3947.65,1303.93,2248.35,0.0,-1277.18,State1,District3,10.0
20314.5,female,2.4493019031290704,1016.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1041.2,State3,District4,10.0
24498.75,male,2.5004582632470527,15355.91,0.0,0.0,0.0,11240.3,0.0,0.0,0.0,0.0,3510.0,0.0,-789.49,State1,District4,10.0
22906.66,female,2.520041208921411,23159.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.64,546.83,0.0,State3,District4,10.0
23738.64,male,1.4544479304827909,0.0,7215.68,3935.76,0.0,0.0,3768.91,0.0,0.0,0.0,0.0,429.16,0.0,State3,District2,10.0
20551.88,female,2.2002816523100375,6571.36,12036.85,6067.58,0.0,0.0,0.0,0.0,0.0,2437.66,0.0,189.77,0.0,State2,District1,10.0
23649.24,female,2.6429251013367603,10426.19,0.0,0.0,11089.76,0.0,0.0,0.0,5725.42,0.0,548.43,0.0,-785.58,State2,District3,10.0
18908.81,male,1.67040713381682,0.0,19163.1,0.0,9530.96,0.0,0.0,0.0,0.0,0.0,1314.84,859.39,-1208.16,State1,District4,10.0
27816.54,female,2.545683560819138,6287.76,0.0,0.0,14129.9,0.0,0.0,0.0,2386.34,0.0,3012.47,79.45,0.0,State1,District4,10.0
22168.77,female,2.081536612581975,0.0,8255.36,0.0,0.0,0.0,0.0,0.0,2891.2,0.0,0.0,0.0,0.0,State1,District2,10.0
24725.11,male,1.0611950502888252,16249.22,0.0,2816.83,0.0,0.0,0.0,0.0,0.0,2050.16,0.0,0.0,0.0,State1,District1,10.0
13983.67,female,1.8653961803399763,5588.8,0.0,0.0,0.0,6730.52,0.0,0.0,0.0,2331.17,0.0,853.13,0.0,State1,District1,10.0
20006.82,male,1.0789192021538012,9446.52,0.0,0.0,0.0,8460.76,0.0,0.0,0.0,1635.45,0.0,1042.21,0.0,State1,District1,10.0
25796.6,male,1.3977481030993633,32603.77,0.0,0.0,0.0,10285.04,0.0,0.0,0.0,3065.3,0.0,1255.82,-1042.23,State3,District1,10.0
28355.94,male,2.1244591142693396,11651.82,7619.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District3,10.0
16541.93,male,1.3016720021060464,20077.01,0.0,6602.67,0.0,0.0,0.0,0.0,0.0,2839.17,0.0,0.0,0.0,State2,District5,10.0
23141.22,male,1.7273398424012008,14057.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.78,4031.89,138.0,0.0,State2,District2,10.0
30701.57,male,2.0861148870425157,18970.98,0.0,0.0,12316.48,9193.46,0.0,0.0,6067.22,2055.63,0.0,222.28,0.0,State1,District1,10.0
23240.83,female,1.578578868112142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3462.03,0.0,0.0,0.0,0.0,State2,District2,10.0
19420.0,female,1.005128951694938,0.0,19534.85,0.0,8751.19,0.0,0.0,6184.68,0.0,1271.93,1682.56,0.0,0.0,State1,District5,10.0
23433.61,female,1.8098162733195202,12397.87,0.0,7098.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1192.87,State2,District4,10.0
17512.71,female,2.8247790310058196,28803.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.54,1746.06,0.0,State1,District4,10.0
16705.05,male,1.5781263456660786,6639.87,0.0,7308.8,0.0,0.0,0.0,0.0,0.0,1120.47,0.0,0.0,0.0,State1,District3,10.0
27575.63,male,1.8764447713723573,4885.91,-3181.59,8085.61,0.0,7981.81,0.0,0.0,0.0,3591.23,1085.44,87.29,-670.53,State1,District3,10.0
24423.17,male,1.6738383036818785,21787.66,0.0,0.0,7358.07,0.0,0.0,0.0,3390.73,1200.98,3943.37,0.0,-550.99,State3,District4,10.0
19668.27,male,1.1067573170318732,10952.85,0.0,0.0,0.0,0.0,2023.86,0.0,0.0,1040.87,0.0,258.28,-599.14,State1,District2,10.0
