eqIncome,gender,eqsize,cash,self_empl,unempl_ben,age_ben,surv_ben,sick_ben,dis_ben,rent,fam_allow,house_allow,cap_inv,tax_adj,state,district
19368.08,male,2.0955638331802637,11327.84,0.0,7889.98,10623.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District2
22349.33,male,1.416751065587343,0.0,23275.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.18,-840.83,State1,District2
17508.11,male,2.713616179889719,0.0,0.0,0.0,8524.09,0.0,0.0,0.0,0.0,2215.68,0.0,0.0,0.0,State1,District3
27217.67,male,2.274141652236908,25838.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.85,2434.94,0.0,0.0,State2,District5
14452.13,male,1.996533627534459,16038.98,0.0,0.0,0.0,0.0,0.0,0.0,4036.43,0.0,0.0,0.0,-588.51,State2,District2
23866.36,female,1.7472005164102846,-2183.06,0.0,0.0,12725.42,0.0,0.0,8001.94,0.0,0.0,1587.24,0.0,-1402.6,State2,District4
30413.24,female,1.0042758447927973,3070.5,10197.08,0.0,0.0,0.0,0.0,3353.12,3240.69,2511.11,1667.93,1153.65,-899.04,State1,District5
20046.38,male,2.657592488799415,23846.02,0.0,6519.87,7069.7,0.0,0.0,0.0,0.0,3043.82,0.0,0.0,-1410.14,State1,District2
23463.42,male,2.64341769809087,30639.65,10807.14,0.0,0.0,0.0,0.0,0.0,0.0,3188.19,0.0,116.61,-705.9,State1,District5
23875.38,female,2.1880881821186584,9717.52,0.0,0.0,0.0,10882.91,0.0,0.0,5977.01,1584.23,0.0,0.0,0.0,State3,District2
18041.58,female,2.514596162961496,20584.79,0.0,7387.9,0.0,0.0,0.0,5328.14,0.0,0.0,0.0,0.0,-951.22,State2,District1
24525.05,female,1.260307062268424,2379.0,0.0,0.0,0.0,0.0,2145.32,0.0,0.0,3488.08,0.0,2164.63,-1194.53,State2,District3
12920.59,male,2.8001538024540613,29564.89,0.0,0.0,8002.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District5
17757.61,female,1.9593842640135082,11501.04,11246.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District4
22261.93,female,1.9136376987841113,1849.83,16693.4,0.0,0.0,0.0,0.0,5930.27,0.0,0.0,0.0,0.0,-552.35,State3,District1
15432.85,male,2.1849611114649923,-5555.95,0.0,4507.59,9801.6,0.0,0.0,7590.81,0.0,3095.92,0.0,95.53,-1031.92,State1,District2
8435.64,male,2.1923717283624446,14184.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1274.28,State3,District5
18341.53,female,2.0702822900212112,10750.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.01,0.0,-613.65,State1,District5
31974.47,female,1.4137680092410114,11926.43,0.0,0.0,7808.88,0.0,0.0,0.0,0.0,0.0,0.0,211.1,-922.08,State3,District2
19816.51,male,1.941628438410445,18014.82,0.0,0.0,13147.01,0.0,0.0,0.0,0.0,0.0,0.0,124.35,-1471.37,State1,District4
20786.92,male,1.825602797601627,29955.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State1,District1
21539.62,male,2.636306350556857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-643.64,State3,District5
23110.38,male,2.2851975487947493,16861.63,0.0,0.0,0.0,8699.4,0.0,0.0,0.0,0.0,0.0,0.0,-1124.45,State3,District4
18870.34,male,1.5403808719660443,10354.9,12565.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.9,-1430.71,State2,District5
18190.49,female,1.6875593943548224,0.0,0.0,5596.15,0.0,0.0,0.0,0.0,0.0,2659.69,0.0,0.0,-359.54,State1,District5
16403.2,female,2.4092690547338003,15430.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513.01,0.0,State3,District3
29248.48,female,1.0211156489031534,11102.57,0.0,1372.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.36,-280.66,State2,District3
22626.85,female,1.2540131311149676,29350.81,13495.02,0.0,4466.11,0.0,0.0,0.0,0.0,2564.42,3486.63,0.0,-634.1,State2,District5
20365.23,male,2.971782411305232,5748.67,7580.92,0.0,9512.5,5122.5,0.0,0.0,0.0,-1423.27,0.0,642.21,-1261.68,State2,District1
22506.08,female,1.6444729311256825,4876.67,0.0,5854.99,0.0,0.0,0.0,0.0,0.0,1772.62,0.0,0.0,-2043.24,State2,District5
16824.9,male,1.5319282397640765,20926.96,0.0,0.0,5110.53,0.0,0.0,6928.53,0.0,0.0,0.0,0.0,0.0,State3,District1
17280.97,female,2.297715016673146,0.0,0.0,0.0,8198.87,10169.16,0.0,0.0,0.0,0.0,2988.62,0.0,0.0,State1,District2
15351.0,male,1.0338595954556618,0.0,0.0,3844.59,11879.58,0.0,0.0,0.0,0.0,2836.41,0.0,0.0,-1381.4,State3,District4
17357.02,female,2.6626036838654548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3257.29,0.0,0.0,0.0,State1,District1
22924.49,male,1.6217194492506164,0.0,1658.52,0.0,0.0,0.0,0.0,0.0,0.0,3423.96,0.0,1026.18,0.0,State2,District2
25546.27,female,1.9427858352432323,23229.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District5
17108.69,female,1.5361358846785758,-5595.55,0.0,0.0,10837.8,0.0,0.0,0.0,2603.75,0.0,0.0,0.0,-689.02,State2,District5
23276.96,female,2.0018623725050593,17814.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.24,0.0,0.0,-811.44,State1,District3
7147.53,female,2.2142628140693015,35525.53,5134.69,0.0,0.0,0.0,0.0,0.0,0.0,1068.93,4951.42,0.0,0.0,State3,District5
23010.19,female,1.8041347865412414,-13410.82,0.0,4393.55,10813.72,0.0,0.0,5769.44,-476.93,1516.89,3906.36,0.0,-1016.52,State1,District1
19870.3,male,2.2689640020857453,0.0,3454.07,0.0,5679.65,8106.75,0.0,0.0,0.0,0.0,0.0,3376.27,-1482.07,State3,District1
17553.42,female,1.668165997844535,0.0,0.0,5983.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.69,State3,District5
31369.3,female,2.452319515585107,9728.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.43,2860.98,0.0,-1003.16,State3,District3
14176.17,female,2.6241595453219935,0.0,0.0,0.0,8924.8,0.0,0.0,0.0,0.0,123.14,0.0,1437.52,0.0,State1,District5
15279.08,female,1.518959180888106,0.0,15694.87,0.0,12958.54,0.0,0.0,0.0,0.0,3797.09,2654.41,0.0,-1508.01,State3,District3
18331.65,female,2.189743604189321,-625.81,1182.33,0.0,0.0,0.0,0.0,0.0,6245.92,0.0,0.0,445.11,0.0,State1,District4
16036.69,female,2.2858934913430593,12964.22,0.0,0.0,8927.27,5988.53,0.0,9796.43,0.0,0.0,0.0,0.0,0.0,State3,District1
19432.93,female,1.2570289365328329,0.0,0.0,0.0,15602.84,0.0,0.0,0.0,0.0,0.0,0.0,2482.79,0.0,State2,District5
13266.14,female,1.489663865936666,24762.21,0.0,0.0,7621.15,0.0,0.0,0.0,0.0,3776.01,0.0,2724.9,0.0,State1,District2
25240.68,male,1.8240209087716237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District1
29390.46,female,2.998024462768308,2018.66,0.0,0.0,8378.22,0.0,0.0,6383.94,0.0,0.0,0.0,0.0,0.0,State3,District4
25924.95,female,1.7369220365895386,0.0,3742.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.89,0.0,State3,District4
24169.55,male,1.4894002488955993,18955.83,0.0,0.0,0.0,0.0,0.0,7898.28,0.0,0.0,0.0,0.0,17.37,State3,District1
18773.5,female,2.404420398278474,26989.8,11921.93,0.0,0.0,0.0,0.0,6715.68,0.0,0.0,0.0,3055.1,0.0,State2,District3
21285.36,female,2.6136481668680975,0.0,17009.15,6555.79,0.0,0.0,0.0,0.0,0.0,1685.11,0.0,0.0,0.0,State3,District3
22339.73,female,1.1247201052154387,28375.54,0.0,8914.42,6225.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-895.71,State1,District3
18845.4,male,1.8515455144716062,0.0,0.0,0.0,0.0,9240.8,3945.4,0.0,0.0,0.0,0.0,68.63,0.0,State3,District4
21703.28,male,1.8033920728697903,23876.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District4
25811.58,female,1.3317815146692278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1233.56,State3,District5
17038.16,male,2.6826474358297627,17970.31,0.0,0.0,0.0,0.0,0.0,0.0,3609.55,0.0,0.0,326.58,16.0,State2,District2
